流水号,平台用户编号,金额
2262898902120278025,SYS_GENERATE_004,6866022.22
2262898902128666631,SYS_GENERATE_002,3072286.29
2262898902128666632,SYS_GENERATE_005,8880508.03
2262898902128666633,P00000015,41118.31
2262898902128666634,P00000016,2272291.06
2262898902128666635,P00000017,3323306.34
2262898902128666636,P00000018,16885723.18
2262898902128666638,100392,239.73
2262898902128666639,100398,25.57
2262898902128666640,100402,20.70
2262898902128666641,10040,305.08
2262898902128666642,100387,27746.68
2262898902128666643,100391,0.17
