流水号,平台用户编号,金额
1000,100369,300000
1001,102660,300000
1002,102943,300000
1003,104126,300000
1004,107258,300000
1005,1084,300000
1006,108424,300000
1007,11170,300000
1008,115224,300000
1009,116704,300000
1010,118928,300000
1011,118935,300000
1012,119043,300000
1013,120511,300000
1014,124597,300000
1015,136120,300000
1016,139262,300000
1017,146590,300000
1018,154131,300000
1019,156397,300000
1020,156678,300000
1021,158788,300000
1022,17788,300000
1023,181760,300000
1024,197256,300000
1025,205491,300000
1026,206369,300000
1027,20668,300000
1028,209787,300000
1029,2123,300000
1030,221943,300000
1031,323029,300000
1032,344721,300000
1033,3658,300000
1034,392959,300000
1035,405,300000
1036,415940,300000
1037,416385,300000
1038,423314,300000
1039,430235,300000
1040,434113,300000
1041,438980,300000
1042,446643,300000
1043,48293,300000
1044,48624,300000
1045,49352,300000
1046,49983,300000
1047,5031,300000
1048,506657,300000
1049,5194,300000
1050,525731,300000
1051,54027,300000
1052,546910,300000
1053,555777,300000
1054,5560,300000
1055,563742,300000
1056,56660,300000
1057,587948,300000
1058,59871,300000
1059,602636,300000
1060,616440,300000
1061,618623,300000
1062,621789,300000
1063,633047,300000
1064,641151,300000
1065,643061,300000
1066,646766,300000
1067,650601,300000
1068,652759,300000
1069,65660,300000
1070,660611,300000
1071,663991,300000
1072,6667,300000
1073,677671,300000
1074,681416,300000
1075,691082,300000
1076,693693,300000
1077,697953,300000
1078,702186,300000
1079,706458,300000
1080,708875,300000
1081,711851,300000
1082,719851,300000
1083,727075,300000
1084,732821,300000
1085,756109,300000
1086,756635,300000
1087,757596,300000
1088,760068,300000
1089,763247,300000
1090,765729,300000
1091,77637,300000
1092,780779,300000
1093,782774,300000
1094,782983,300000
1095,793964,300000
1096,807544,300000
1097,808804,300000
1098,817520,300000
1099,817827,300000
1100,818285,300000
1101,831875,300000
1102,83824,300000
1103,84086,300000
1104,846695,300000
1105,853446,300000
1106,85414,300000
1107,855733,300000
1108,8567,300000
1109,856727,300000
1110,86230,300000
1111,875823,300000
1112,87654,300000
1113,878010,300000
1114,896147,300000
1115,896451,300000
1116,901103,300000
1117,91235,300000
1118,913492,300000
1119,92180,300000
1120,931066,300000
1121,934836,300000
1122,935987,300000
1123,938273,300000
1124,940072,300000
1125,946589,300000
1126,95375,300000
1127,968154,300000
1128,976391,300000
1129,979618,300000
1130,980621,300000
1131,98356,300000
1132,U000001307,300000
1133,U000024187,300000
1134,U000025939,300000
1135,U000033307,300000
1136,U000050216,300000
1137,U000052355,300000
1138,U000056781,300000
1139,U000062114,300000
1140,U000063756,300000
1141,U000065027,300000
1142,U000065942,300000
1143,U000066597,300000
1144,U000070153,300000
1145,U000075909,300000
1146,U000087624,300000
1147,U000088844,300000
1148,U000092703,300000
1149,U000096746,300000
1150,U000113291,300000
1151,U000126314,300000
1152,U000150452,300000
1153,U000160271,300000
1154,U000160401,300000
1155,U000165773,300000
1156,U000208156,300000
1157,U000208945,300000
1158,U000211457,300000
1159,U000220304,300000
1160,U000226137,300000
1161,U000228631,300000
1162,U000229420,300000
1163,U000231639,300000
1164,U000231964,300000
1165,U000232028,300000
1166,U000234752,300000
1167,U000235325,300000
1168,U000235741,300000
1169,U000236360,300000
1170,U000236462,300000
1171,U000243219,300000
1172,U000245022,300000
1173,U000247158,300000
1174,U000251542,300000
1175,U000262372,300000
1176,U000263905,300000
1177,U000264636,300000
1178,U000266542,300000
1179,U000271714,300000
1180,U000275001,300000
1181,U000280461,300000
1182,U000281131,300000
1183,U000281199,300000
1184,U000283252,300000
1185,U000292755,300000
1186,U000294432,300000
1187,U000295510,300000
1188,U000308627,300000
1189,U000321179,300000
1190,U000327048,300000
1191,U000353583,300000
1192,U000357179,300000
1193,U000360827,300000
1194,U000366718,300000
1195,U000369180,300000
1196,U000370815,300000
1197,U000371546,300000
1198,U000374176,300000
1199,U000378278,300000
1200,U000383760,300000
1201,U000401572,300000
1202,U000410347,300000
1203,U000428196,300000
1204,U000436576,300000
1205,U000458758,300000
1206,U000471327,300000
1207,U000501026,300000
1208,U000509864,300000
1209,U000519717,300000
1210,U000524198,300000
1211,U000526939,300000
1212,U000553736,300000
1213,U000576598,300000
1214,U2074323546259064839,300000
1215,U2091895831538959368,300000
1216,U2099849884252243972,300000
1217,U2100433265306372101,300000
1218,U2104153371320518658,300000
1219,U2104803495319177219,300000
1220,U2111272599412541445,300000
1221,U2115677733215275013,300000
1222,U2123741187696232454,300000
1223,U2130298959007056896,300000
1224,U2151176552291763205,300000
1225,U2269237260737183754,300000
