流水号,平台用户编号,金额
268103232205095942,P00000015,84285.69
268103232205095943,P00000016,1392783.90
268103232205095944,P00000017,2495719.92
268103232213484546,P00000018,13601918.08
268103232213484547,P00000019,20257771.58
268103232213484548,103793,367.72
268103232213484549,100,1131.80
268103232213484550,102073,544.47
268103232213484551,101214,384.00
268103232213484552,10380,1914.29
268103232213484553,100015,0.17
268103232213484554,101215,644.67
268103232213484555,104689,0.75
268103232213484556,102920,502.61
268103232213484557,101216,124.36
268103232213484558,102926,177.08
268103232221873160,10208,163.17
268103232221873161,103811,1000.00
268103232221873162,102929,20605.85
268103232221873163,102087,676.70
268103232221873164,106136,27.71
268103232221873165,103815,485.53
268103232221873166,1047,3545.61
268103232221873167,105488,83156.15
268103232221873168,108037,53.63
268103232221873169,108040,74.69
268103232221873170,101239,23.35
268103232221873171,102939,39.96
268103232221873172,108046,330.09
268103232221873173,106142,200102.83
268103232230261769,107082,188.34
268103232230261770,102943,845.46
268103232230261771,101248,7246.75
268103232230261772,107085,2357.90
268103232230261773,1055,13.44
268103232230261774,10709,967.69
268103232230261775,10008,1732.47
268103232230261776,100082,84.08
268103232230261777,104712,503.15
268103232230261778,102947,1037.38
268103232238650369,102111,20310.00
268103232238650370,102948,11233.39
268103232238650371,101255,27.90
268103232238650372,102955,1372.31
268103232238650373,107092,250.17
268103232238650374,103862,166130.53
268103232238650375,102960,10039.42
268103232238650376,108069,601.88
268103232238650377,10807,1907.62
268103232247038983,102966,242.23
268103232247038984,108073,4312.73
268103232247038985,1071,50577.80
268103232247038986,10297,31.63
268103232247038987,101280,18189.61
268103232247038988,108076,5556.71
268103232247038989,102127,202.42
268103232247038990,107102,3.78
268103232247038991,100116,52180.84
268103232247038992,101288,50072.20
268103232255427588,102133,137.42
268103232255427589,102975,3550.68
268103232255427590,104767,97.77
268103232255427591,10012,92.60
268103232255427592,104771,563.38
268103232255427593,101298,1668.43
268103232255427594,106179,2.01
268103232255427595,102984,75.22
268103232255427596,1013,183.40
268103232255427597,10478,322.67
268103232255427598,106181,46.30
268103232255427599,10130,37.07
268103232255427600,103907,52138.34
268103232255427601,108097,5992.00
268103232263816195,105532,0.25
268103232263816196,102151,200.42
268103232263816197,106184,96.00
268103232263816198,10391,11.54
268103232263816199,100141,296.36
268103232263816200,1081,2089.76
268103232263816201,102991,2886.47
268103232263816202,107118,202.57
268103232263816203,103918,20.00
268103232263816204,102994,188.05
268103232263816205,100157,108.69
268103232263816206,107122,1900.72
268103232263816207,102995,1487.90
268103232263816208,1030,35.60
268103232263816209,10300,2632.66
268103232263816210,105541,195.21
268103232263816211,103009,0.06
268103232263816212,100178,7671.79
268103232272204806,105543,255.98
268103232272204807,100181,754.28
268103232272204808,101338,114.31
268103232272204809,103937,122.36
268103232272204810,103014,108.77
268103232272204811,101344,392.43
268103232272204812,10394,74.86
268103232272204813,103941,1328.12
268103232272204815,10135,82.16
268103232272204816,100199,42.26
268103232272204817,108133,367.23
268103232272204818,101357,103.55
268103232272204819,1002,254.84
268103232272204820,103021,6792.82
268103232272204821,103947,208.37
268103232280593415,10395,36665.31
268103232280593416,104823,45.16
268103232280593417,103023,59.73
268103232280593418,106213,16339.81
